_id,message_text,true_concept,selected_concept,alignment_rating,comments,creator_user_id,timestamp,evaluator_id,message_id
68177c80cc133ad35fd86771,"What’s keeping you on track with this task? It’s natural for people to find what works for them and lean into it. Just like everyone else, you have your own way of performing at your best—so find it, trust it, and keep building on it.",Descriptive Norms,Autonomy,9,the way this message represents descriptive norms is a bit diverging from what I thought descriptive norms are. But it also makes sense after digesting its meaning and the definition of the concept. ,Expert E,2025-05-04T14:41:04.652Z,Expert B,681487760fa0b8913e24cc4a
68177d09cc133ad35fd86776,"Are you aware that it is up to you how you tackle these challenges? You have the choice on how to approach these challenges, on how much effort you put in and how much you value the results. The way you behave and tackle these challenges therefore reflect your personal choices.",Autonomy,Autonomy,10,,Expert A,2025-05-04T14:43:21.265Z,Expert B,681487760fa0b8913e24cc50
68177f9dcc133ad35fd8677d,"What's driving you to tackle this tough task? You're not just looking to get it done, you're looking to do it right, and that's what matters. It's that sense of pride and satisfaction that comes from knowing you gave it your all and stayed true to yourself that makes all the hard work worth it.",Competence,Emotional arousal,7,"this one is quite interesting. originally I feel it can suit Competence, Emotional Arousal,  and perhaps also Dissonance Arousal.",Expert D,2025-05-04T14:54:21.658Z,Expert B,681487760fa0b8913e24cc51
68178030cc133ad35fd86783,"Can you think of a time when you felt really proud of something you accomplished? Which decisions did you have to take, and what guided your decisions? When you are able to make choices that reflect what's important to you, it is like you are standing behind your work, and that makes all the difference.",Autonomy,Autonomy,10,,Expert C,2025-05-04T14:56:48.627Z,Expert B,681487760fa0b8913e24cc4f
6817810dcc133ad35fd86789,"Don't you ever find yourself caught between two mindsets when working on something? One part of you says, 'I want to do this right,' while the other says, 'Just get it done’. These opposing approaches can coexist and it's interesting to think about how they can shape the way you work.",Cognitive inconsistency,Dissonance arousal,8,I think there perhaps are big overlaps between Cognitive Inconsistency and Dissonance Arousal?,Expert E,2025-05-04T15:00:29.349Z,Expert B,681487760fa0b8913e24cc3a
68178134cc133ad35fd8678e,"What do you think gives someone the courage to try something challenging? Is it seeing that others, who may have started out just like you, have been able to figure it out and achieve their goals? It is very encouragin watching others succeed can show us that we are capable of more than we think.",Vicarious experience,Vicarious experience,10,,Expert C,2025-05-04T15:01:08.681Z,Expert B,681487760fa0b8913e24cc63
68178198cc133ad35fd86793,"Imagine being how it is like when you are surrounded by people you deeply care about? You know, the ones who make you feel like you are home? When you are with them, you're more likely to open up and share your ideas, and that is when the magic happens and you are building a true connection with others.",Relatedness,Relatedness,9,,Expert C,2025-05-04T15:02:48.171Z,Expert B,681487760fa0b8913e24cc45
681781b9cc133ad35fd86798,"What's helping you tackle this tough task? You're probably watching how others in your group approach it, right? Seeing someone similar to you work through a problem can be really inspiring and help you find your own way to solve it.",Vicarious experience,Vicarious experience,10,,Expert D,2025-05-04T15:03:21.230Z,Expert B,681487760fa0b8913e24cc60
6817822fcc133ad35fd8679e,"Think about the people you identify with, your peers or your community. How would most people within that group behave in this situation? Are your actions aligned with those of your community?",Descriptive Norms,Reference Group Identification,8,Descriptive Norms and Reference Group Identification somehow are very alike.,Expert A,2025-05-04T15:05:19.573Z,Expert B,681487760fa0b8913e24cc49
68178314cc133ad35fd867a3,"What happens when you're working on something and you don't quite give it your all? You're gonna feel it, right - that uneasy feeling that you're not being true to yourself? It's like your actions and your values are at odds, and that tension is gonna stick with you until you find a way to make things right.",Dissonance arousal,Dissonance reduction,8,"It feels hard to distinguish Dissonance Arousal and Dissonance Reduction. Also this message contains ""until you find a way to make things right"" so to me it feels like it is persuasive and it is encouraging the listener to reduce the inconsistency. ",Expert D,2025-05-04T15:09:08.529Z,Expert B,681487760fa0b8913e24cc29
68178354cc133ad35fd867a9,"What happens when you're faced with a tough problem - do you feel more alert, more focused? You're not just reacting to the challenge, you're tapping into a inner drive that helps you push through. This energy, it's what helps you stay true to yourself and your goals, even when things get tough.",Emotional arousal,Emotional arousal,9,,Expert D,2025-05-04T15:10:12.150Z,Expert B,681487760fa0b8913e24cc56
681783c6cc133ad35fd867ae,"What do you think happens when you look back on a project and realize it doesn't quite reflect who you are? Don't you feel like something's off, like a wrong note in a song you love? It's like your mind is trying to get your attention, to remind you that staying true to yourself is what makes your work truly meaningful.",Dissonance arousal,Dissonance arousal,9,,Expert A,2025-05-04T15:12:06.435Z,Expert B,681487760fa0b8913e24cc2d
6817850acc133ad35fd867b4,"So, what drives you to tackle tough problems with integrity? You're more likely to stay on track when you know what's expected of you, right? It's about doing what's right, even when it's hard, because you know that's what's valued here.",Injunctive Norms,Verbal persuasion,8,"I was hesitating between Injunctive Norms and Verbal Persuasion of this one. ""What's expected of you"" and ""that's what's valued here"" indeed give sort of social rewards and social value here. ",Expert D,2025-05-04T15:17:30.252Z,Expert B,681487760fa0b8913e24cc24
68178546cc133ad35fd867b9,"What is the first thing that comes to mind when you are proud of what you have accomplished? You feel good, right? But when you did something that does not quite live up to your own standards – doesn't that feeling of pride turn into something else, like a nagging voice that won't let you move on?",Dissonance arousal,Dissonance arousal,10,,Expert C,2025-05-04T15:18:30.347Z,Expert B,681487760fa0b8913e24cc2c
68178563cc133ad35fd867be,"How do you feel when you're doing something that's truly your own? Even if it's not perfect, it still reflects your values and who you are. That sense of ownership keeps you true to yourself—because you're the one who decides how it happens.",Autonomy,Autonomy,10,,Expert E,2025-05-04T15:18:59.526Z,Expert B,681487760fa0b8913e24cc4e
6817864ecc133ad35fd867c4,"Imagine you are faced with a tough decision. Are you thinking about how others might view your actions, and how that might impact your relationships with them? It is about being mindful of the unwritten rules that guide our behavior, and letting those guide you towards choices that align with your values and principles.",Injunctive Norms,Injunctive Norms,9,,Expert C,2025-05-04T15:22:54.199Z,Expert B,681487760fa0b8913e24cc28
681787a4cc133ad35fd867ca,What would your peers think of you if they could see how much effort you put in completing this task well? Would they react negatively if your performance is seen as below your community’s standards?  How you approach tasks like these may affect how your peers see you.,Social Sanctions,Injunctive Norms,8,It is somehow hard to distinguish Injunctive Norms and Social Sanctions.,Expert A,2025-05-04T15:28:36.990Z,Expert B,681487760fa0b8913e24cc1c
68178886cc133ad35fd867d0,What does it take to deliver work you can be proud of? It starts with staying true to the non-negotiables expected of you. Committing to those principles is what earns you both respect and trust.,Injunctive Norms,Injunctive Norms,8,,Expert E,2025-05-04T15:32:22.010Z,Expert B,681487760fa0b8913e24cc27
681788c5cc133ad35fd867d5,"You're working hard on this task, and it's great to see. What drives you to make tough choices when it's not easy? It's your connection to our group's values, right, and wanting to make decisions that align with what we stand for?",Reference Group Identification,Reference Group Identification,9,,Expert D,2025-05-04T15:33:25.115Z,Expert B,681487760fa0b8913e24cc3d
